0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	17452
21	12936
22	6556
23	3581
24	2382
25	1766
26	1428
27	1176
28	1055
29	862
30	784
31	678
32	652
33	571
34	510
35	512
36	439
37	422
38	325
39	322
40	253
41	208
42	193
43	154
44	116
45	90
46	94
47	80
48	70
49	69
50	77
51	86
52	77
53	99
54	126
55	102
56	113
57	124
58	106
59	110
60	82
61	68
62	48
63	43
64	33
65	27
66	25
67	19
68	19
69	18
70	10
71	6
72	17
73	10
74	13
75	13
76	16
77	16
78	20
79	19
80	18
81	18
82	10
83	18
84	16
85	20
86	17
87	20
88	16
89	16
90	27
91	28
92	22
93	20
94	18
95	20
96	24
97	31
98	41
99	49
100	54
101	54
102	68
103	66
104	67
105	59
106	52
107	48
108	33
109	23
110	30
111	21
112	14
113	27
114	19
115	24
116	24
117	18
118	19
119	12
120	15
121	11
122	7
123	9
124	10
125	2
126	3
127	10
128	1
129	5
130	5
131	3
132	0
133	5
134	1
135	2
136	3
137	2
138	4
139	5
140	4
141	4
142	2
143	6
144	4
145	4
146	3
147	3
148	1
149	1
150	3
151	3
152	4
153	4
154	2
155	2
156	8
157	2
158	5
159	1
160	4
161	2
162	2
163	0
164	3
165	8
166	2
167	5
168	2
169	5
170	5
171	3
172	2
173	7
174	3
175	4
176	3
177	7
178	3
179	8
180	9
181	11
182	17
183	18
184	12
185	34
186	36
187	27
188	35
189	29
190	38
191	13
192	14
193	20
194	18
195	13
196	9
197	5
198	3
199	11
200	8
201	7
202	4
203	4
204	7
205	13
206	12
207	12
208	16
209	27
210	36
211	35
212	92
213	108
214	178
215	196
216	237
217	347
218	386
219	348
220	421
221	424
222	360
223	283
224	275
225	213
226	135
227	94
228	53
229	42
230	33
231	16
232	13
233	9
234	6
235	5
236	2
237	3
238	6
239	7
240	3
241	4
242	6
243	7
244	7
245	10
246	17
247	13
248	21
249	20
250	18
251	21
252	22
253	28
254	20
255	13
256	26
257	31
258	23
259	42
260	47
261	75
262	96
263	90
264	122
265	132
266	132
267	137
268	145
269	163
270	145
271	135
272	185
273	199
274	234
275	260
276	351
277	361
278	412
279	394
280	415
281	396
282	319
283	286
284	232
285	180
286	115
287	93
288	67
289	41
290	30
291	24
292	15
293	17
294	13
295	9
296	4
297	11
298	6
299	6
300	4
301	9
302	2
303	9
304	7
305	3
306	5
307	4
308	3
309	8
310	5
311	7
312	6
313	7
314	13
315	8
316	14
317	17
318	27
319	26
320	28
321	49
322	37
323	93
324	94
325	108
326	84
327	117
328	79
329	90
330	78
331	75
332	70
333	52
334	43
335	59
336	49
337	33
338	45
339	37
340	31
341	23
342	25
343	14
344	13
345	12
346	8
347	11
348	10
349	8
350	10
351	9
352	5
353	2
354	4
355	8
356	5
357	1
358	3
359	0
360	3
361	2
362	0
363	2
364	4
365	1
366	1
367	2
368	3
369	1
370	3
371	2
372	2
373	2
374	3
375	0
376	2
377	1
378	1
379	3
380	1
381	7
382	4
383	0
384	1
385	5
386	5
387	1
388	1
389	3
390	2
391	5
392	5
393	4
394	2
395	4
396	2
397	3
398	3
399	6
400	10
401	6
402	7
403	14
404	18
405	24
406	23
407	47
408	39
409	76
410	76
411	67
412	64
413	71
414	68
415	48
416	54
417	32
418	22
419	29
420	18
421	16
422	9
423	3
424	4
425	3
426	1
427	1
428	3
429	0
430	2
431	1
432	3
433	2
434	2
435	3
436	2
437	4
438	4
439	4
440	3
441	3
442	6
443	5
444	7
445	7
446	4
447	7
448	3
449	5
450	6
451	7
452	1
453	2
454	4
455	2
456	2
457	0
458	1
459	2
460	7
461	1
462	2
463	2
464	1
465	3
466	3
467	1
468	0
469	2
470	1
471	1
472	2
473	3
474	2
475	1
476	1
477	2
478	1
479	1
480	4
481	1
482	0
483	3
484	1
485	0
486	4
487	3
488	1
489	5
490	2
491	3
492	4
493	2
494	10
495	12
496	6
497	15
498	14
499	19
500	24
501	19
502	21
503	18
504	22
505	25
506	21
507	11
508	17
509	14
510	8
511	8
512	6
513	7
514	7
515	8
516	18
517	10
518	13
519	12
520	11
521	13
522	18
523	8
524	11
525	12
526	11
527	6
528	6
529	4
530	4
531	2
